sym,at,day,ses,up48,dn48,went,px48,oi48,fund_min,board,lead,top24,ladder,r1,fneg,flush,topdn
IOST,17.09 00:44,Wed,Сидней,11,-7,0,5,-3,-0.922,-0.1,1,1,1,0,1,0,0
PHA,09.09 12:08,Wed,Лондон,23,-14,0,5,2,0.005,0.5,0,-5,0,0,0,0,0
PHA,12.09 20:08,Sat,НЙ,10,-2,0,2,-12,-0.012,0.7,1,11,0,0,0,0,0
PHA,13.09 08:38,Sun,Токио,1,-9,0,14,11,-0.101,1.5,1,-9,0,0,1,0,0
PHA,14.09 00:09,Sun,Сидней,4,-3,0,10,2,-0.101,0.4,1,2,0,0,1,0,0
PHA,22.09 05:42,Tue,Токио,11,-14,0,41,220,-0.058,4.6,1,-8,1,0,1,0,0
PHA,23.09 03:12,Wed,Токио,9,-9,0,31,144,-0.058,2.8,1,7,1,0,1,0,0
HIVE,09.09 23:08,Wed,НЙ,1,-5,0,0,-4,0.005,-1.3,1,-5,0,0,0,1,0
HIVE,14.09 15:42,Mon,Лондон,20,-5,0,11,69,-0.541,-1.5,1,10,0,0,1,1,0
HIVE,14.09 23:39,Mon,НЙ,17,-7,0,12,36,-0.541,0.6,1,11,0,0,1,0,0
HIVE,18.09 19:10,Fri,НЙ,5,-2,0,5,2,-0.096,5.0,1,-4,0,0,1,0,0
PLAY,10.09 00:08,Wed,Сидней,2,-14,0,0,10,0.005,-0.9,1,-3,0,0,0,0,0
PLAY,23.09 05:40,Wed,Токио,39,0,0,11,13,-0.007,2.1,1,-2,0,0,0,0,0
KAT,10.09 05:09,Thu,Токио,-1,-17,0,19,92,-0.135,-4.8,1,-62,1,0,1,1,1
KAT,11.09 02:38,Thu,Сидней,10,-3,0,0,13,-0.135,-4.1,0,23,1,0,1,1,0
KAT,11.09 19:10,Fri,НЙ,5,-6,0,-16,-31,-0.158,0.8,0,3,1,0,1,0,0
LUNA2,10.09 05:39,Thu,Токио,2,-4,0,-7,-23,0.005,-4.7,1,-5,0,0,0,1,0
LUNA2,23.09 01:18,Tue,Сидней,1,-14,0,2,-14,0.005,2.4,1,-3,1,0,0,0,0
BTR,10.09 06:38,Thu,Токио,12,-27,0,39,49,-0.002,-3.4,1,-7,1,0,0,1,0
SAHARA,10.09 15:08,Thu,Лондон,-1,-10,0,3,11,-0.024,-6.1,1,-39,0,0,0,1,1
AKE,10.09 15:37,Thu,Лондон,3,-42,0,-16,-29,-0.27,-6.0,1,1,1,0,1,1,0
AKE,17.09 09:09,Thu,Токио,193,-4,1,30,28,0.005,1.6,1,-4,1,0,0,0,0
AKE,18.09 01:12,Thu,Сидней,320,-1,1,-22,-35,0.005,3.1,1,18,1,0,0,0,0
AKE,18.09 12:39,Fri,Лондон,291,0,1,-16,-31,0.005,4.4,1,8,1,0,0,0,0
AKE,20.09 13:41,Sun,Лондон,-32,-73,0,342,187,-2.0,-2.6,1,-21,1,0,1,1,1
MINA,10.09 18:39,Thu,НЙ,24,-5,0,14,24,-0.171,-5.5,1,-17,1,0,1,1,1
MINA,12.09 08:09,Sat,Токио,7,-20,0,19,43,-0.089,2.5,1,-7,1,0,1,0,0
MINA,15.09 14:41,Tue,Лондон,11,-8,0,-17,-13,-0.104,-1.7,1,6,1,0,1,1,0
VTHO,11.09 04:39,Fri,Токио,56,-6,1,15,518,-1.598,-3.0,0,-1,1,0,1,1,0
VTHO,11.09 12:08,Fri,Лондон,100,-8,1,33,561,-1.598,-1.6,0,21,1,0,1,1,0
VTHO,12.09 00:38,Fri,Сидней,107,-5,1,32,525,-1.598,0.7,1,8,1,0,1,0,0
VTHO,13.09 04:21,Sun,Токио,75,-10,1,29,0,-1.078,1.4,1,9,1,0,1,0,0
VTHO,15.09 09:40,Tue,Токио,17,-7,0,-20,-27,-0.348,-1.6,1,9,1,0,1,1,0
VTHO,16.09 01:43,Tue,Сидней,0,-14,0,-2,-13,-0.344,-4.3,1,-9,1,0,1,1,0
LSK,11.09 09:08,Fri,Токио,1739,-8,1,25,125,-0.283,-2.4,0,0,0,0,1,1,0
LSK,11.09 23:08,Fri,НЙ,1780,2,1,11,107,-0.436,0.7,1,7,0,0,1,0,0
LSK,15.09 04:10,Tue,Токио,126,-15,1,-3,-48,-2.0,0.7,1,12,1,0,1,0,0
LSK,16.09 03:13,Wed,Токио,155,2,1,-56,-33,-1.54,-3.7,1,-13,1,0,1,1,1
LSK,24.09 00:09,Wed,Сидней,50,0,1,-11,-8,-0.134,-5.6,0,3,1,0,1,1,0
ANIME,11.09 10:07,Fri,Лондон,10,-3,0,-3,73,-0.525,-2.6,0,-5,0,1,1,1,0
ANIME,12.09 23:38,Sat,НЙ,7,-1,0,4,-24,-0.334,2.0,1,-13,0,0,1,0,1
ANIME,13.09 07:09,Sun,Токио,4,-2,0,9,-22,-0.186,1.0,1,-1,0,0,1,0,0
VET,11.09 23:38,Fri,НЙ,8,-2,0,-3,-14,-0.009,0.2,1,-4,0,0,0,0,0
VET,13.09 16:09,Sun,НЙ,6,-5,0,4,0,-0.02,-0.2,1,-3,0,0,0,0,0
ETHFI,12.09 06:39,Sat,Токио,10,-13,0,16,17,-0.0,3.7,1,0,0,0,0,0,0
MET,12.09 14:39,Sat,Лондон,9,-11,0,15,43,-0.049,4.6,1,1,1,0,0,0,0
KAVA,12.09 16:38,Sat,НЙ,16,-15,0,12,19,0.001,2.5,1,4,0,0,0,0,0
KAVA,15.09 18:40,Tue,НЙ,3,-1,0,4,9,0.005,-1.4,1,7,0,0,0,1,0
SAGA,13.09 01:09,Sat,Сидней,20,-1,0,-8,-15,-0.003,2.1,1,33,1,0,0,0,0
SAGA,17.09 10:09,Thu,Лондон,38,-8,0,20,49,0.005,1.5,1,-6,1,0,0,0,0
SAGA,18.09 21:51,Fri,НЙ,55,-4,1,29,45,0.005,5.5,1,13,1,0,0,0,0
SAGA,20.09 11:12,Sun,Лондон,62,-3,1,29,43,0.005,-0.3,1,13,1,0,0,0,0
SAGA,22.09 03:12,Tue,Токио,33,-8,0,57,68,-0.001,4.3,1,36,1,0,0,0,0
SAGA,23.09 05:40,Wed,Токио,128,-2,1,12,8,-0.001,2.1,1,-5,1,0,0,0,0
ILV,13.09 09:08,Sun,Токио,2,-20,0,38,105,-0.046,1.3,1,-38,0,0,0,0,1
ILV,14.09 14:54,Mon,Лондон,3,-9,0,10,49,-0.046,-0.7,1,12,0,1,0,0,0
ALCH,14.09 01:09,Sun,Сидней,6,-8,0,11,16,0.005,0.0,1,6,1,0,0,0,0
ALCH,15.09 18:40,Tue,НЙ,4,-5,0,-3,-6,0.005,-1.4,1,1,1,0,0,1,0
ALCH,23.09 18:10,Wed,НЙ,17,2,0,15,36,0.01,-0.8,0,4,1,0,0,0,0
POWR,14.09 04:39,Mon,Токио,8,-8,0,15,163,-1.724,-2.2,1,7,1,0,1,1,0
POWR,15.09 02:39,Mon,Сидней,14,-2,0,4,68,-1.724,0.7,1,16,1,1,1,0,0
POWR,15.09 12:39,Tue,Лондон,9,-3,0,-13,-20,-1.724,-1.6,1,1,1,0,1,1,0
POWR,15.09 21:41,Tue,НЙ,4,-5,0,4,2,-1.724,-2.8,1,4,1,0,1,1,0
POWR,16.09 04:13,Wed,Токио,6,-3,0,3,-22,-1.214,-3.9,1,12,1,0,1,1,0
CVC,14.09 04:39,Mon,Токио,30,-18,0,51,509,-1.768,-2.2,1,-10,1,0,1,1,1
CVC,14.09 19:39,Mon,НЙ,8,-22,0,48,442,-1.768,-0.3,1,14,1,0,1,0,0
CVC,16.09 03:13,Wed,Токио,8,-9,0,-11,-27,-1.606,-3.7,1,12,1,0,1,1,0
CVC,17.09 03:40,Thu,Токио,4,-4,0,-18,-30,-1.606,0.6,1,-10,1,0,1,0,1
ARK,14.09 04:39,Mon,Токио,33,-13,0,38,213,-1.078,-2.2,1,4,1,0,1,1,0
