symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
ROBOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,12,2,1,1,0.0395,0,1.89,,
LAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,2,2,2,0.1769,0,0.0,,
4USDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,73,4,4,3,0.0876,0,2.15,,
NEIROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,1,0,2,0.1322,0,1.6,,
VVVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,204,16,15,1,0.0491,0,21.13,,
MUBARAKUSDT,1,73,flow_taker,сильный,25,недели,0.0,0.0,0.0,51.7,0.0,0.0,0.01248142574605964,112,2,2,2,0.1545,0,1.84,,
ASTERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,46,2,2,3,0.3392,0,0.0,,
VIRTUALUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,1,1,3,0.0828,0,1.91,,
SLXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,0,0,0.0,0,5.0,,
JTOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,167,8,8,5,0.0433,0,4.24,,
ICPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,0,0,2,0.2215,0,1.81,,
BIRBUSDT,0,29,none,,0,,0.0,0.0,29.3,0.0,0.0,0.0,,41,1,1,0,0.0,0,1.99,,
MYXUSDT,1,75,flow_taker,сильный,25,недели,0.0,0.0,0.0,54.0,0.0,0.0,0.07214,124,0,0,2,0.1732,0,2.8,,
BOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,110,7,5,10,0.0971,0,2.67,,
ATOMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,0,0.0,0,1.48,,
GWEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,0,0,0,0.0,0,10.96,,
ELSAUSDT,1,87,flow_churn,экстремальный,2,дни,0.0,0.0,77.0,28.2,0.0,0.0,0.045399150519454486,50,2,2,1,0.2031,0,0.0,,
FLOWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,129,4,2,2,0.0808,0,0.0,,
CRVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,0,0,1,0.1765,0,1.38,,
AEROUSDT,1,85,flow_churn,экстремальный,2,дни,0.0,0.0,71.8,0.0,0.0,0.0,0.3245123243231567,146,2,2,1,0.2436,0,0.0,,
SEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,98,0,0,0,0.0,0,1.23,,
RENDERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,109,0,0,1,0.2839,0,2.3,,
ZENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,165,0,0,3,0.2225,0,2.0,,
ETHFIUSDT,1,83,flow_churn,сильный,2,дни,0.0,0.0,69.4,0.0,0.0,0.0,0.3866549176906691,105,4,4,2,0.0482,0,1.22,,
TSTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,174,5,4,1,0.1665,0,4.6,,
PENDLEUSDT,1,78,flow_fuel,сильный,25,недели,0.0,24.5,0.0,0.0,60.8,0.0,1.2330671355577154,96,2,1,5,0.2598,0,0.0,,
SAHARAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,0,0,0,0.0,0,3.67,,
PEOPLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,99,5,3,5,0.0276,0,1.56,,
CAKEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,0,0,3,0.1147,0,1.1,,
GALAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,0,0,0.0,0,1.45,,
XNYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,95,5,4,2,0.2119,0,5.21,,
EDGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,19,0,0,0,0.0,0,4.55,,
SANDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,0,0,0.0,0,1.66,,
PNUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,72,0,0,3,0.1244,0,1.6,,
ZROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,131,0,0,1,0.1406,0,2.15,,
ROSEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,135,0,0,1,0.0198,0,2.31,,
ACEUSDT,1,77,flow_taker,сильный,25,недели,0.0,0.0,37.4,51.7,0.0,0.0,0.06301,187,1,1,3,0.1187,0,1.67,,
BSBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,22,0,0,0,0.0,0,22.24,,
POLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,95,0,0,3,0.2073,0,1.89,,
ARXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
OGNUSDT,0,27,none,,0,,0.0,0.0,27.1,0.0,0.0,0.0,,155,1,1,3,0.0872,0,1.12,,
PRLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,12,2,0,0,0.0,0,3.35,,
FOLKSUSDT,1,81,flow_fuel,сильный,12,недели,0.0,43.1,0.0,0.0,59.0,0.0,1.8709768071038697,84,7,6,2,0.0862,0,4.94,,
XPDUSDT,1,79,flow_hidden,сильный,5,неделя,61.8,0.0,0.0,0.0,0.0,0.0,1218.3812722605287,16,1,1,5,0.1445,0,0.0,,
