symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
BRUSDT,1,76,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.10739333333333334,124,5,2,10,none,0.0,0,0.0042,0.5088,6.01,1,25.4,,flow_dormant=падение 25.4% < 45.0% | flow_hidden=поток не растёт: наклон 0.00420 < 0.01 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
SUIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,5,2,10,up,0.486,0,-0.03382,0.484,1.53,220,67.9,,flow_dormant=цикла не было: рост до пика x1.53 < x3.0 | flow_hidden=поток не растёт: наклон -0.03382 < 0.01 | flow_spring=нет опорной зоны под ценой,
TAOUSDT,1,87,flow_taker,экстремальный,25,недели,0.0,0.0,0.0,0.0,62.0,0.0,0.0,191.77833333333336,76,9,8,10,none,0.0,0,-0.03378,0.4801,2.64,142,51.2,,flow_dormant=цикла не было: рост до пика x2.64 < x3.0 | flow_hidden=поток не растёт: наклон -0.03378 < 0.01 | flow_spring=фон шумный: rel_vol 1.18 > 0.95,
LABUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86,1,0,3,down,0.408,0,-0.02787,0.4827,249.59,73,99.7,,flow_dormant=база не была тихой: оборот 1.03 к падению > 0.95 (база 13 баров падения) | flow_hidden=поток не растёт: наклон -0.02787 < 0.01 | flow_spring=фон шумный: rel_vol 2.41 > 0.95,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75,11,7,10,up,0.277,0,-0.00684,0.4968,1.4,207,70.3,,flow_dormant=цикла не было: рост до пика x1.40 < x3.0 | flow_hidden=цена растёт: наклон 0.00726 > 0.002 | flow_spring=фон шумный: rel_vol 2.39 > 0.95,
USUSDT,1,76,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.006506,64,3,2,3,down,0.15,0,0.01979,0.512,23.39,18,77.9,,flow_dormant=база не была тихой: оборот 6.26 к падению > 0.95 (база 186 баров падения) | flow_hidden=цена растёт: наклон 0.02237 > 0.002 | flow_spring=фон шумный: rel_vol 2.24 > 0.95,
PROMUSDT,1,85,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,60.5,0.0,2.3333333333333335,134,12,7,10,up,1.0,0,-0.00722,0.4966,1.37,230,91.0,,flow_dormant=цикла не было: рост до пика x1.37 < x3.0 | flow_hidden=цена растёт: наклон 0.01500 > 0.002 | flow_spring=фон шумный: rel_vol 7.11 > 0.95,
XMRUSDT,1,73,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,0.0,48.4,0.0,368.465,103,9,8,10,up,0.412,0,0.00606,0.5037,1.96,212,65.6,,flow_dormant=цикла не было: рост до пика x1.96 < x3.0 | flow_hidden=цена растёт: наклон 0.00378 > 0.002 | flow_spring=фон шумный: rel_vol 2.21 > 0.95,
BCHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58,6,4,10,none,0.0,0,-0.01704,0.4911,1.27,221,73.0,,flow_dormant=цикла не было: рост до пика x1.27 < x3.0 | flow_hidden=поток не растёт: наклон -0.01704 < 0.01 | flow_spring=фон шумный: rel_vol 1.48 > 0.95,
KAITOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,121,10,7,10,up,0.493,0,-0.01284,0.4941,5.19,16,71.3,,flow_dormant=база не была тихой: оборот 1.51 к падению > 0.95 (база 440 баров падения) | flow_hidden=цена растёт: наклон 0.01030 > 0.002 | flow_spring=диапазон широк: 243.1% > 35%,
