symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
GPSUSDT,1,61,flow_taker,умеренный,25,недели,0.0,0.0,0.0,36.0,0.0,0.0,0.008713333333333335,130,13,10,10,down,0.239,0,-0.01196,0.4957,3.84,185,63.8,,flow_dormant=база широка: 47.1% при падении 63.8% — доля 0.74 > 0.55 | flow_hidden=поток не растёт: наклон -0.01196 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ALICEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,87,14,13,10,none,0.0,0,-0.02088,0.4888,2.71,118,64.9,,flow_dormant=цикла не было: рост до пика x2.71 < x3.0 | flow_hidden=поток не растёт: наклон -0.02088 < 0.01 | flow_leverage=цена идёт: +21.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
WLFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,31,4,2,10,up,0.131,0,0.0034,0.502,1.56,212,74.2,,flow_dormant=цикла не было: рост до пика x1.56 < x3.0 | flow_hidden=поток не растёт: наклон 0.00340 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.52 > 0.95,
REUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
PENGUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,71,5,1,10,up,0.243,0,-0.02565,0.4876,1.64,220,61.9,,flow_dormant=цикла не было: рост до пика x1.64 < x3.0 | flow_hidden=поток не растёт: наклон -0.02565 < 0.01 | flow_leverage=фандинг не отрицательный: 10.8% APR > -5.0% | flow_spring=не сжалась: squeeze 0.96 > 0.9,
VVVUSDT,1,73,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,48.4,0.0,9.171000000000001,126,13,11,10,down,0.453,0,0.00504,0.5006,19.35,72,54.5,,flow_dormant=отскока не было: 15.1% < 30.0% | flow_hidden=поток не растёт: наклон 0.00504 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.37 > 0.95,
APTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,72,5,4,10,none,0.0,0,-0.04348,0.4782,1.42,220,73.5,,flow_dormant=цикла не было: рост до пика x1.42 < x3.0 | flow_hidden=поток не растёт: наклон -0.04348 < 0.01 | flow_leverage=фандинг не отрицательный: 3.8% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.44 > 0.95,
CRVUSDT,1,77,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,51.7,0.0,0.23409999999999997,44,5,3,10,up,0.494,0,-0.01627,0.4914,1.38,209,63.0,,flow_dormant=цикла не было: рост до пика x1.38 < x3.0 | flow_hidden=цена растёт: наклон 0.00212 > 0.002 | flow_leverage=цена идёт: +22.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.57 > 0.95,
TAKEUSDT,1,100,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,80.0,0.0,0.03529666666666667,74,6,3,10,up,0.601,0,0.01134,0.5038,1.66,228,97.4,,flow_dormant=цикла не было: рост до пика x1.66 < x3.0 | flow_hidden=цена растёт: наклон 0.02317 > 0.002 | flow_leverage=цена идёт: +93.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 9.55 > 0.95,
FETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,72,12,6,10,up,0.11,0,-0.04032,0.4814,1.64,220,58.3,,flow_dormant=цикла не было: рост до пика x1.64 < x3.0 | flow_hidden=поток не растёт: наклон -0.04032 < 0.01 | flow_leverage=фандинг не отрицательный: 1.9% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.03 > 0.95,
