date,close,case,score,verdict
2025-08-10,119255,,,цель уже позади цены: цель 116473.4853 при цене 119255.3 — сигнал отыгран
2025-08-13,123324,,,цель уже позади цены: цель 116473.4853 при цене 123323.9 — сигнал отыгран
2025-08-16,117330,,,"цена ушла от зоны входа на 13% (зона 103994.1833, цена 117329.7) — сигнал устарел"
2025-08-19,112824,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-08-22,116898,,,"цена ушла от зоны входа на 12% (зона 103994.1833, цена 116897.5) — сигнал устарел"
2025-08-25,110064,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-08-28,112507,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-08-31,108208,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-03,111660,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-06,110135,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-09,111500,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-12,115978,flow_taker,72,Смена агрессора: агрессор сменился: доля покупок 49% → 50% при цене +6.6%; сдвиг собран неравномерно; цена перестала спо
2025-09-15,115301,flow_taker,72,Смена агрессора: агрессор сменился: доля покупок 49% → 50% при цене +3.7%; сдвиг собран неравномерно; цена перестала спо
2025-09-18,117017,,,"цена ушла от зоны входа на 13% (зона 103994.1833, цена 117017.1) — сигнал устарел"
2025-09-21,115184,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-24,113254,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-27,109577,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-09-30,113989,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-10-03,122183,flow_taker,61,Смена агрессора: агрессор сменился: доля покупок 49% → 50% при цене +5.7%; сдвиг собран неравномерно; цена перестала спо
2025-10-06,124628,flow_fuel,68,"Карта предложения: топливо: 2 уровня снято вверх, сверху свободно; уровень 118855 удержан на 5 ретестах; пробой давний ("
2025-10-09,121579,flow_taker,61,Смена агрессора: агрессор сменился: доля покупок 49% → 50% при цене +10.9%; сдвиг собран неравномерно; цена перестала сп
2025-10-12,114894,flow_churn,55,"Поглощение на уровне: поглощение на 112606: тир 3, событий 1; плато над зоной 15 дней; подтверждено масштабами [1, 3]."
2025-10-15,110699,,,
2025-10-18,107118,,,
2025-10-21,108254,,,
2025-10-24,110965,flow_spring,47,"Пружина: сжатие x1.3 на серии из 3 событий, диапазон 22.3%; опора: зона 103994, плато 17 дней; опора подтверждена одним "
